WhiteElo,BlackElo,Result,Termination,Opening,ECO,TimeControl
1360,1722,0-1,Time forfeit,"Queen's Pawn Game: Colle System, Anti-Colle",D04,240+0
1769,1799,0-1,Normal,"Italian Game: Evans Gambit, Lasker Defense",C52,300+8
1533,1712,1-0,Normal,Caro-Kann Defense,B10,300+0
1744,1773,0-1,Normal,French Defense: Horwitz Attack,C00,540+0
1720,1865,0-1,Normal,Alekhine Defense: John Tracy Gambit,B02,60+1
1871,1714,0-1,Normal,Van Geet Opening,A00,60+1
1500,1511,0-1,Normal,Mikenas Defense,A40,60+0
1179,1223,1-0,Normal,Van't Kruijs Opening,A00,420+0
1341,1290,1-0,Normal,"Italian Game: Two Knights Defense, Open Variation",C55,300+5
1511,1430,1-0,Normal,English Opening,A10,420+0
1577,1331,1-0,Normal,Queen's Gambit Refused: Baltic Defense,D02,60+0
1472,1504,0-1,Normal,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,B30,1560+30
1725,1785,1/2-1/2,Normal,French Defense: Advance Variation #2,C02,360+6
1729,1856,0-1,Normal,Caro-Kann Defense,B10,60+0
1668,1907,0-1,Normal,Rat Defense: Antal Defense,B07,420+9
1856,1729,1-0,Time forfeit,Sicilian Defense: Hyperaccelerated Dragon,B27,60+0
1856,1786,0-1,Normal,Englund Gambit,A40,60+0
1351,1542,1-0,Normal,Scandinavian Defense,B01,300+5
1695,1757,1-0,Time forfeit,Sicilian Defense: Alapin Variation,B22,240+0
1421,1520,0-1,Normal,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",B00,420+0
1556,1525,0-1,Normal,Center Game: Berger Variation,C22,480+8
1722,1863,0-1,Time forfeit,"Sicilian Defense: Dragon Variation, Modern Bc4 Variation",B35,60+0
1270,1646,0-1,Normal,English Defense #2,A40,60+0
1649,1242,1-0,Normal,Nimzo-Larsen Attack: Classical Variation,A01,60+0
1871,1627,1-0,Normal,Philidor Defense #3,C41,60+0
1514,1550,1-0,Normal,Queen's Gambit Declined,D30,480+0
1799,1634,1-0,Time forfeit,Sicilian Defense: McDonnell Attack,B21,60+0
1749,1843,0-1,Time forfeit,Sicilian Defense: French Variation,B40,60+0
1549,1609,0-1,Normal,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,300+0
1366,1440,0-1,Time forfeit,French Defense: Advance Variation #3,C02,300+5
1870,1715,1-0,Time forfeit,Sicilian Defense: Smith-Morra Gambit,B21,60+0
1220,1652,0-1,Time forfeit,English Defense #2,A40,60+0
1627,1806,0-1,Time forfeit,Zukertort Opening: Queenside Fianchetto Variation,A04,60+0
1731,1517,1-0,Time forfeit,Modern Defense,B06,60+0
1621,1661,0-1,Normal,French Defense: Advance Variation,C02,180+3
1499,1895,0-1,Normal,Italian Game: Anti-Fried Liver Defense,C55,660+0
1706,1570,1-0,Time forfeit,Philidor Defense: Nimzowitsch Variation,C41,180+0
1851,1740,0-1,Normal,Slav Defense: Two Knights Attack,D15,60+0
1513,1433,1-0,Normal,Horwitz Defense,A40,1560+30
1812,1621,1-0,Normal,Sicilian Defense: Smith-Morra Gambit #2,B21,60+0
1755,1837,0-1,Time forfeit,Sicilian Defense: French Variation,B40,60+0
1863,1737,0-1,Normal,Scandinavian Defense,B01,60+0
1203,1654,0-1,Normal,English Defense #2,A40,60+0
1782,1666,1-0,Normal,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,540+0
1888,1771,0-1,Time forfeit,French Defense: Knight Variation,C00,180+0
1615,1511,1-0,Time forfeit,Zukertort Opening: Kingside Fianchetto,A04,60+0
1622,1576,1-0,Normal,King's Pawn Game: Beyer Gambit,C21,300+8
1528,1526,1-0,Normal,Philidor Defense #3,C41,480+0
1844,1753,0-1,Time forfeit,Scandinavian Defense,B01,60+0
1845,1746,0-1,Time forfeit,Semi-Slav Defense,D43,60+0
1656,1431,1-0,Time forfeit,Nimzo-Larsen Attack,A01,0+1
1876,1877,1-0,Normal,French Defense: Normal Variation,C00,60+0
1646,1678,1-0,Normal,Three Knights Opening,C46,600+5
1510,1805,0-1,Normal,Scandinavian Defense: Main Line,B01,600+3
1244,1857,0-1,Time forfeit,English Opening: Anglo-Indian Defense,A15,120+0
1898,1496,1-0,Normal,"Ruy Lopez: Berlin Defense, Rio Gambit Accepted",C67,660+0
1656,1431,1-0,Time forfeit,Nimzo-Larsen Attack: Spike Variation,A01,0+1
1503,1624,1-0,Normal,Nimzo-Larsen Attack: English Variation,A01,60+0
1638,1795,1-0,Time forfeit,Queen's Gambit Declined: Normal Defense,D35,180+15
1827,1426,1-0,Time forfeit,Modern Defense: Geller's System,B06,60+0
1624,1503,1-0,Time forfeit,Zukertort Opening: Kingside Fianchetto,A04,60+0
1662,1586,1-0,Normal,Nimzo-Larsen Attack: Symmetrical Variation,A01,0+1
1832,1752,1-0,Normal,Caro-Kann Defense,B10,60+0
1761,1832,0-1,Time forfeit,Sicilian Defense: French Variation,B40,60+0
1709,1768,1-0,Normal,"Caro-Kann Defense: Panov Attack, Gunderam Attack",B13,60+1
1586,1662,0-1,Normal,Van Geet Opening,A00,0+1
1830,1423,1-0,Time forfeit,Modern Defense: Geller's System,B06,60+0
1495,1631,0-1,Normal,Van't Kruijs Opening,A00,60+0
1672,1577,1-0,Normal,Nimzo-Larsen Attack,A01,0+1
1874,1947,1-0,Time forfeit,Sicilian Defense,B50,180+0
1630,1783,0-1,Time forfeit,French Defense: Advance Variation #2,C02,360+6
1840,1599,1-0,Normal,Queen's Gambit Declined: Queen's Knight Variation,D31,60+0
1754,1886,0-1,Normal,Alekhine Defense,B03,60+0
1657,1789,1-0,Time forfeit,King's Pawn Game,C20,540+0
1638,1487,1-0,Time forfeit,Zukertort Opening: Queen's Gambit Invitation,A04,60+0
1576,1576,1-0,Normal,Italian Game: Anti-Fried Liver Defense,C55,300+4
1913,1663,1-0,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,420+9
1569,1681,0-1,Normal,Mieses Opening,A00,0+1
1577,1755,1-0,Normal,Vienna Game: Stanley Variation,C26,240+0
1595,1845,1-0,Time forfeit,Hungarian Opening: Sicilian Invitation,A00,60+0
1690,1561,1-0,Time forfeit,Nimzo-Larsen Attack,A01,0+1
1341,1516,0-1,Time forfeit,Sicilian Defense: Loewenthal Variation,B32,180+0
1553,1698,0-1,Normal,Mieses Opening,A00,0+1
1843,1928,1-0,Time forfeit,"French Defense: Advance Variation, Paulsen Attack",C02,60+0
1698,1553,1-0,Normal,Nimzo-Larsen Attack,A01,0+1
1887,1934,1-0,Time forfeit,Sicilian Defense,B50,180+0
1859,1747,1-0,Normal,Scandinavian Defense,B01,60+0
1603,1449,1-0,Time forfeit,Scandinavian Defense: Mieses-Kotroc Variation,B01,300+0
1546,1705,1-0,Normal,Van't Kruijs Opening,A00,0+1
1743,1827,1-0,Time forfeit,Sicilian Defense: French Variation,B40,60+0
1739,1594,1/2-1/2,Normal,Queen's Gambit Refused: Marshall Defense,D06,240+0
1688,1562,1-0,Time forfeit,Nimzo-Larsen Attack,A01,0+1
1632,1527,0-1,Normal,"Sicilian Defense: Kan Variation, Knight Variation",B43,240+0
1868,1738,1-0,Normal,Scandinavian Defense,B01,60+0
1500,1732,1-0,Normal,Four Knights Game: Scotch Variation Accepted,C47,480+0
1516,1480,1-0,Time forfeit,Modern Defense,B06,60+0
1231,1814,0-1,Normal,Sicilian Defense: Bowdler Attack,B20,60+0
1612,1555,0-1,Normal,Queen's Pawn Game #2,D00,60+1
1879,1237,1-0,Time forfeit,Zukertort Opening: Wade Defense,A04,60+0
1815,1222,1-0,Time forfeit,Queen's Gambit Refused: Austrian Defense,D06,60+0
1877,1319,1-0,Normal,French Defense: Advance Variation #3,C02,60+0
1367,1555,0-1,Time forfeit,French Defense: Knight Variation,C00,0+1
1507,1617,1-0,Normal,Bishop's Opening: Vienna Hybrid,C28,480+0
1542,1404,1-0,Normal,Scandinavian Defense: Modern Variation #2,B01,480+8
1540,1653,1-0,Normal,Sicilian Defense: Paulsen Variation,B44,300+0
1214,1816,0-1,Time forfeit,Sicilian Defense: Bowdler Attack,B20,60+0
1878,1243,1-0,Time forfeit,Modern Defense,B06,60+0
1600,1863,0-1,Normal,Indian Game,A45,60+1
1599,1734,1-0,Normal,"French Defense: Advance Variation, Nimzowitsch System",C02,240+0
1242,1561,0-1,Time forfeit,Horwitz Defense,A40,0+1
1899,1921,0-1,Normal,Sicilian Defense,B50,180+0
1817,1207,1-0,Time forfeit,Queen's Gambit Refused: Austrian Defense,D06,60+0
1609,1443,1-0,Time forfeit,Scandinavian Defense: Mieses-Kotroc Variation,B01,300+0
1664,1790,1-0,Normal,French Defense: Advance Variation #2,C02,360+6
1554,1564,0-1,Time forfeit,Pirc Defense #5,B07,0+1
1880,1855,1-0,Normal,Giuoco Piano,C50,60+0
1869,1649,1/2-1/2,Normal,French Defense: Exchange Variation,C01,180+0
1814,1717,1-0,Time forfeit,Benoni Defense: Old Benoni,A43,480+0
1523,1500,1-0,Normal,Slav Defense: Geller Gambit #2,D15,300+0
1465,1562,0-1,Time forfeit,Sicilian Defense: Katalimov Variation,B27,720+0
1521,1539,1-0,Time forfeit,Vienna Game: Zhuravlev Countergambit #2,C25,480+0
1200,1818,0-1,Normal,Sicilian Defense: Bowdler Attack,B20,60+0
1659,1920,0-1,Time forfeit,Rat Defense: Antal Defense,B07,420+9
1543,1575,1/2-1/2,Normal,Gedult's Opening,A00,0+1
1552,1478,1-0,Normal,Scotch Game,C44,300+0
1889,1932,0-1,Normal,Sicilian Defense: Smith-Morra Gambit #2,B21,180+0
1819,1194,1-0,Normal,Queen's Gambit Accepted,D20,60+0
1236,1532,0-1,Normal,"English Opening: King's English Variation, Two Knights Variation",A22,120+0
1892,1574,1-0,Time forfeit,Scandinavian Defense,B01,60+0
1777,1775,0-1,Normal,Queen's Gambit Accepted: Old Variation,D20,480+8
1567,1544,1-0,Normal,Queen's Gambit Accepted: Normal Variation,D25,120+0
1188,1820,0-1,Normal,Queen's Pawn Game: Franco-Sicilian Defense,C00,60+0
1802,1734,1-0,Normal,Robatsch (Modern) Defense,B06,300+8
1756,1548,0-1,Normal,Caro-Kann Defense,B10,60+1
1896,1571,1-0,Normal,"Nimzowitsch Defense, Declined Variation",B00,60+0
1722,1747,1-0,Normal,"Sicilian Defense: Paulsen Variation, Normal Variation",B45,300+0
1900,1568,1-0,Time forfeit,Barnes Defense,B00,60+0
1616,1436,1-0,Time forfeit,Scandinavian Defense: Mieses-Kotroc Variation,B01,300+0
1395,1485,1-0,Normal,Scandinavian Defense: Gubinsky-Melts Defense,B01,300+1
1642,1615,1-0,Normal,"Sicilian Defense: French Variation, Open",B40,240+0
1555,1563,1-0,Normal,Four Knights Game: Italian Variation,C46,300+0
1231,1452,0-1,Time forfeit,English Opening,A10,120+0
1904,1564,1-0,Time forfeit,Pirc Defense #4,B07,60+0
1821,1740,1-0,Normal,Queen's Gambit Accepted,D20,60+0
1880,1941,0-1,Normal,Sicilian Defense,B50,180+0
1152,1892,0-1,Normal,French Defense #2,C00,60+0
1461,1462,0-1,Normal,Vienna Game,C27,120+0
1408,1441,1-0,Normal,Nimzowitsch Defense,B00,300+1
1148,1896,0-1,Normal,French Defense #2,C00,60+0
1731,1830,0-1,Normal,Sicilian Defense: McDonnell Attack,B21,60+0
1907,1561,1-0,Normal,Rat Defense: Small Center Defense,C00,60+0
1907,1561,1-0,Normal,Barnes Defense,B00,60+0
1899,1565,1-0,Normal,Caro-Kann Defense,B15,120+0
1145,1844,0-1,Normal,Italian Game: Giuoco Pianissimo,C50,60+0
1839,1724,1-0,Time forfeit,Queen's Gambit Accepted,D20,60+0
1911,1558,1-0,Normal,Barnes Defense,B00,60+0
1871,1951,0-1,Time forfeit,Sicilian Defense,B50,180+0
1420,1167,1-0,Normal,Four Knights Game: Italian Variation,C50,300+1
1914,1333,1-0,Time forfeit,Alekhine Defense: Brooklyn Variation,B02,60+0
1654,1555,1-0,Time forfeit,Queen's Pawn,A40,0+1
1182,1457,0-1,Normal,French Defense #2,C00,60+0
1595,1535,1-0,Normal,Queen's Pawn,A40,60+1
1709,1547,1-0,Normal,French Defense: Normal Variation,C00,0+1
1378,1483,1-0,Time forfeit,Philidor Defense #2,C41,120+0
1709,1547,1-0,Normal,French Defense: Normal Variation,C00,0+1
1716,1848,0-1,Time forfeit,Sicilian Defense: McDonnell Attack,B21,60+0
1915,1142,1-0,Normal,Italian Game,C50,60+0
1566,1469,1-0,Normal,Italian Game: Anti-Fried Liver Defense,C55,300+0
1844,1541,1-0,Time forfeit,French Defense: King's Indian Attack,C00,0+1
1223,1746,0-1,Time forfeit,English Opening: King's English Variation,A20,120+0
1561,1604,0-1,Time forfeit,Scotch Game,C45,240+0
1916,1526,1-0,Normal,Scandinavian Defense,B01,60+0
1604,1537,1-0,Normal,Horwitz Defense,A40,0+1
1140,1848,0-1,Time forfeit,French Defense #2,C00,60+0
1638,1431,1-0,Time forfeit,Queen's Gambit Accepted: Rosenthal Variation,D21,120+2
1613,1527,1-0,Time forfeit,Indian Game: Tartakower Attack,A45,0+1
1855,1709,1-0,Time forfeit,Semi-Slav Defense: Anti-Moscow Gambit,D44,60+0
1622,1654,0-1,Normal,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",C50,300+0
1919,1621,1-0,Normal,Scandinavian Defense,B01,60+0
1221,1518,1-0,Normal,Mieses Opening,A00,0+1
1621,1518,1-0,Normal,"Englund Gambit Declined, Reversed French",A40,0+1
1542,1707,0-1,Normal,Four Knights Game,C46,480+0
1923,1752,1/2-1/2,Time forfeit,Philidor Defense #3,C41,60+0
1703,1863,0-1,Time forfeit,Sicilian Defense: McDonnell Attack,B21,60+0
1849,1137,1-0,Normal,Italian Game: Anti-Fried Liver Defense,C55,60+0
1570,1470,0-1,Normal,French Defense: Tarrasch Variation,C03,600+10
1925,1654,1-0,Time forfeit,Sicilian Defense,B20,420+9
1863,1864,1-0,Time forfeit,Caro-Kann Defense,B10,180+0
1882,1665,0-1,Time forfeit,Old Benoni Defense,A43,180+0
1425,1128,0-1,Time forfeit,Bishop's Opening: Boi Variation,C20,300+1
1347,1643,0-1,Time forfeit,Indian Game: Wade-Tartakower Defense,A46,120+2
1550,1654,0-1,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,480+8
1629,1509,0-1,Time forfeit,Horwitz Defense,A40,0+1
1870,1696,1-0,Time forfeit,Semi-Slav Defense: Botvinnik Variation,D44,60+0
1918,1134,1-0,Normal,Elephant Gambit,C40,60+0
1768,1830,1-0,Normal,"St. George Defense: New St. George, Traditional Line",B00,300+8
1615,1525,1-0,Time forfeit,Queen's Pawn,A41,0+1
1765,1715,0-1,Time forfeit,Old Benoni Defense,A43,480+0
1126,1500,1-0,Time forfeit,Philidor Defense #3,C41,60+0
1457,1533,1-0,Normal,Scotch Game,C44,720+0
1614,1551,1-0,Normal,Philidor Defense #2,C41,240+0
1132,1918,0-1,Normal,French Defense #2,C00,60+0
1623,1516,1-0,Normal,Indian Game,A45,0+1
1690,1876,0-1,Time forfeit,Sicilian Defense: Alapin Variation,B22,60+0
1919,1130,1-0,Normal,Italian Game: Anti-Fried Liver Defense,C55,60+0
1726,1958,0-1,Normal,Sicilian Defense: Bowdler Attack,B20,300+8
1631,1508,1-0,Normal,Queen's Pawn Game #2,D00,0+1
1128,1919,0-1,Normal,French Defense #2,C00,60+0
1882,1685,1-0,Time forfeit,"Queen's Gambit Refused: Chigorin Defense, Janowski Variation",D07,60+0
1919,1743,1-0,Time forfeit,Caro-Kann Defense,B10,60+0
1281,1647,1-0,Normal,Nimzowitsch Defense: Kennedy Variation,B00,120+3
1638,1500,0-1,Time forfeit,Horwitz Defense,A40,0+1
1562,1556,0-1,Time forfeit,Van't Kruijs Opening,A00,480+0
1672,1795,0-1,Normal,Old Benoni Defense,A43,120+2
1920,1516,1-0,Normal,French Defense: Knight Variation,C00,60+0
1100,1208,0-1,Time forfeit,Three Knights Opening,C46,60+0
1524,1888,0-1,Time forfeit,Sicilian Defense: Delayed Alapin Variation,B40,60+0
1861,1853,1-0,Normal,Queen's Pawn,A40,180+0
1803,1665,0-1,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,120+2
1344,1252,1-0,Normal,"Bishop's Opening: Vienna Hybrid, Spielmann Attack",C26,300+0
1246,1850,0-1,Time forfeit,Italian Game: Giuoco Pianissimo,C50,60+0
1874,1685,1-0,Time forfeit,Old Benoni Defense,A43,180+0
1470,1637,0-1,Normal,Scotch Game: Classical Variation,C45,720+0
1584,1663,0-1,Normal,Sicilian Defense: Bowdler Attack,B20,600+6
1541,1663,1-0,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,480+8
1680,1786,1-0,Normal,Old Benoni Defense,A43,120+2
1283,1224,0-1,Normal,King's Pawn Game: Damiano Defense,C40,900+0
1521,1891,0-1,Time forfeit,Sicilian Defense: Delayed Alapin Variation,B40,60+0
1881,1669,1-0,Time forfeit,Horwitz Defense,A40,180+0
1643,1786,0-1,Normal,French Defense: Advance Variation #2,C02,480+8
1627,1316,1-0,Normal,English Opening: Anglo-Indian Defense,A15,120+3
1894,1518,1-0,Time forfeit,Old Benoni Defense,A43,60+0
1480,1649,1-0,Normal,Ruy Lopez: Steinitz Defense,C62,300+3
1516,1899,0-1,Time forfeit,Van Geet Opening,A00,60+0
1496,1550,0-1,Normal,Sicilian Defense: Bowdler Attack,B20,300+3
1490,1500,0-1,Normal,Philidor Defense #2,C41,360+2
1887,1623,0-1,Time forfeit,Queen's Pawn Game,D00,240+0
1771,1693,1/2-1/2,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,120+2
1516,1896,0-1,Time forfeit,Van't Kruijs Opening,A00,60+0
1519,1572,0-1,Normal,Bishop's Opening: Vienna Hybrid,C28,480+0
1896,1516,1-0,Time forfeit,Queen's Gambit Accepted: Showalter Variation,D24,60+0
1482,1336,0-1,Normal,Sicilian Defense: Bowdler Attack,B20,300+0
1098,1514,0-1,Time forfeit,Queen's Pawn Game: Zukertort Variation,D02,0+1
1095,1516,0-1,Time forfeit,Queen's Pawn,A41,0+1
1095,1516,0-1,Time forfeit,Owen Defense: Smith Gambit,B00,0+1
1696,1768,1-0,Normal,Benoni Defense: Benoni Gambit Accepted,A43,120+2
1595,1546,0-1,Normal,Sicilian Defense: Staunton-Cochrane Variation,B20,480+0
1567,1650,0-1,Normal,Blackmar-Diemer Gambit: Gedult Gambit,D00,600+10
1510,1581,0-1,Normal,Vienna Game: Max Lange Defense,C25,480+0
1902,1518,1-0,Normal,Old Indian Defense,A41,60+0
1623,1683,0-1,Normal,Benoni Defense: Benoni Gambit Accepted,A43,60+1
1487,1640,1-0,Normal,French Defense #2,C00,300+3
1515,1904,0-1,Normal,Van Geet Opening,A00,60+0
1754,1708,1-0,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,120+2
1866,1500,0-1,Normal,Canard Opening,A45,180+0
1904,1515,1-0,Time forfeit,Old Indian Defense,A41,0+1
1513,1907,0-1,Normal,Mieses Opening,A00,0+1
1793,1731,1-0,Normal,"Russian Game: Modern Attack, Center Variation",C43,480+0
1469,1425,0-1,Time forfeit,Scandinavian Defense: Mieses-Kotroc Variation,B01,300+3
1588,1642,1-0,Normal,"King's Gambit Accepted, MacLeod Defense",C34,240+0
1388,1272,1-0,Normal,Sicilian Defense: Smith-Morra Gambit #2,B21,1800+8
1909,1510,1-0,Time forfeit,English Defense #2,A40,0+1
1851,1940,1/2-1/2,Time forfeit,Sicilian Defense: Bowdler Attack,B20,240+0
1510,1909,0-1,Normal,Van't Kruijs Opening,A00,0+1
1912,1508,1-0,Time forfeit,Old Indian Defense,A41,0+1
1508,1912,0-1,Time forfeit,Van Geet Opening,A00,0+1
1912,1508,1-0,Time forfeit,Queen's Pawn Game: Anglo-Slav Opening,A41,0+1
1557,1590,0-1,Normal,"Nimzowitsch Defense: Kennedy Variation, Keres Attack",B00,480+8
1914,1506,1-0,Time forfeit,English Defense #2,A40,0+1
1474,1508,1-0,Time forfeit,Zukertort Opening: Reversed Mexican Defense,A06,300+0
1529,1890,0-1,Normal,Zukertort Opening: Sicilian Invitation,A04,0+1
1506,1914,1-0,Time forfeit,Hungarian Opening: Sicilian Invitation,A00,0+1
1629,1502,0-1,Normal,"Englund Gambit Declined, Reversed French",A40,240+0
1396,1526,0-1,Normal,Ruy Lopez: Cozio Defense,C60,1800+8
1890,1529,1-0,Time forfeit,Queen's Pawn Game: Anglo-Slav Opening,A41,0+1
1775,1773,1-0,Normal,"French Defense: Winawer Variation, Fingerslip Variation",C15,540+0
1516,1532,0-1,Normal,"Queen's Gambit Accepted: Central Variation, Greco Variation",D20,480+0
1670,1853,1-0,Normal,French Defense: Knight Variation,C00,240+0
1457,1639,0-1,Time forfeit,"Caro-Kann Defense: Exchange Variation, Rubinstein Variation",B13,300+3
1562,1558,1-0,Normal,"King's Gambit Declined, Queen's Knight Defense",C30,480+0
1500,1092,1-0,Time forfeit,Queen's Gambit Declined: Alekhine Variation,D51,120+0
1512,1647,0-1,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,420+3
1432,1262,0-1,Normal,"Sicilian Defense: O'Kelly Variation, Normal System",B28,900+0
1874,1720,1-0,Normal,Benoni Defense: Benoni Gambit Accepted,A43,480+0
1157,1548,0-1,Time forfeit,Zukertort Opening: Nimzo-Larsen Variation,A04,120+0
1501,1494,0-1,Normal,Owen Defense,B00,480+0
1838,1856,0-1,Normal,Center Game Accepted,C21,240+0
1513,1893,1-0,Normal,"French Defense: Advance Variation, Nimzowitsch System",C02,60+0
1608,1036,1-0,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,480+16
1549,1456,0-1,Time forfeit,Ruy Lopez: Berlin Defense #2,C65,300+8
1517,1568,1-0,Normal,Philidor Defense #2,C41,300+3
1869,1526,1-0,Time forfeit,Horwitz Defense,A40,0+1
1865,1633,1/2-1/2,Normal,"Alekhine Defense: Scandinavian Variation, Geschev Gambit",B02,180+0
1473,1480,0-1,Normal,Sicilian Defense: Closed Variation,B23,300+0
1957,2036,1-0,Time forfeit,"Queen's Gambit Declined: Harrwitz Attack, Orthodox Defense",D37,120+0
1903,1609,1-0,Normal,"Gruenfeld Defense: Russian Variation, Accelerated Variation",D81,180+0
1993,1976,0-1,Time forfeit,"English Opening: Anglo-Scandinavian Defense, Schulz Gambit",A10,120+0
1523,1872,0-1,Normal,Van't Kruijs Opening,A00,0+1
1489,1546,1-0,Time forfeit,Vienna Game: Stanley Variation,C26,480+0
1876,1520,1-0,Time forfeit,Slav Defense #2,D10,0+1
1389,1533,0-1,Time forfeit,"Caro-Kann Defense: Panov Attack, Gunderam Attack",B13,1800+8
1828,1646,1-0,Normal,Queen's Pawn Game,D00,240+0
1596,1535,1-0,Normal,Benoni Defense: Old Benoni,A43,120+0
1516,1879,0-1,Time forfeit,Zukertort Opening: Sicilian Invitation,A04,0+1
1304,1648,0-1,Normal,Scandinavian Defense: Main Line,B01,840+0
1879,1516,1-0,Time forfeit,Slav Defense #3,D10,0+1
1513,1882,0-1,Normal,Van't Kruijs Opening,A00,0+1
1882,1513,1-0,Time forfeit,Horwitz Defense,A40,0+1
1394,1727,0-1,Normal,Queen's Gambit Accepted: Old Variation,D20,300+5
1035,1608,1-0,Time forfeit,Van't Kruijs Opening,A00,480+16
1993,1959,1-0,Normal,Catalan Opening: Closed Variation,E07,120+0
1510,1885,0-1,Time forfeit,Van Geet Opening,A00,0+1
1500,1500,0-1,Normal,Russian Game: Urusov Gambit,C42,1320+8
1721,1712,0-1,Normal,Benoni Defense: Benoni Gambit Accepted,A43,480+0
1885,1510,1-0,Time forfeit,Queen's Pawn,A40,0+1
1639,1834,0-1,Normal,English Opening: Agincourt Defense,A13,240+0
1576,1655,1-0,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,480+0
1707,1527,1-0,Normal,"Queen's Gambit Accepted: Central Variation, Modern Defense",D20,120+0
1507,1888,0-1,Time forfeit,Hungarian Opening: Sicilian Invitation,A00,0+1
1891,1504,1-0,Time forfeit,English Defense #2,A40,0+1
1504,1891,0-1,Time forfeit,Hungarian Opening: Sicilian Invitation,A00,0+1
1530,1625,0-1,Normal,Philidor Defense #4,C41,300+3
1894,1502,1-0,Time forfeit,English Defense #2,A40,0+1
1461,1679,0-1,Normal,"Ruy Lopez: Exchange Variation, Lutikov Variation",C68,300+0
1502,1894,1-0,Normal,Hungarian Opening: Sicilian Invitation,A00,0+1
1502,1720,0-1,Normal,"Vienna Game: Stanley Variation, Three Knights Variation",C28,480+0
1841,1758,1-0,Normal,Queen's Pawn Game,D00,300+0
1869,1527,1-0,Normal,Queen's Pawn,A40,60+0
1803,1820,1-0,Normal,Caro-Kann Defense: Advance Variation,B12,480+8
